type;Parameter;Place;motu;service-id;product-id;longitude-min;longitude-max;latitude-min;latitude-max;resolution;level;first obs;last obs;source;variable;lien;mask;depth-min;depth-max;type
sat;Temperature;global;https://nrt.cmems-du.eu/motu-web/Motu;SST_EUR_SST_L3C_NRT_OBSERVATIONS_010_009_b-TDS;METEOFRANCE-EUR-SST_L3MONOSENSOR_NRT-OBS_V2-VIIRS_NPP-EUR-AVHRR_METOP_B_FULL_TIME_SERIE;-39.875;54.875;20.125;69.875;2*2;3;08/03/2016;present;marineCopernicus;adjusted_sea_surface_temperature ;https://resources.marine.copernicus.eu/product-detail/SST_EUR_SST_L3C_NRT_OBSERVATIONS_010_009_b/INFORMATION;0;;;NetCDF
sat;Temperature;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;SST_BAL_SST_L4_NRT_OBSERVATIONS_010_007_b-TDS;DMI-BALTIC-SST-L4-NRT-OBS_FULL_TIME_SERIE;-10;30;48;66;2*2;4;01/01/2016;present;marineCopernicus;analysed_sst;https://resources.marine.copernicus.eu/product-detail/SST_BAL_SST_L4_NRT_OBSERVATIONS_010_007_b/INFORMATION;1;;;NetCDF
sat;Temperature;NWS/IBI;https://nrt.cmems-du.eu/motu-web/Motu;SST_ATL_SST_L4_NRT_OBSERVATIONS_010_025-TDS;IFREMER-ATL-SST-L4-NRT-OBS_FULL_TIME_SERIE;-20.99;12.99;9.01;61.99;2*2;4;01/01/2018;present;marineCopernicus;analysed_sst;https://resources.marine.copernicus.eu/product-detail/SST_ATL_SST_L4_NRT_OBSERVATIONS_010_025/INFORMATION;1;;;NetCDF
sat;Temperature;MED;https://nrt.cmems-du.eu/motu-web/Motu;SST_MED_SST_L4_NRT_OBSERVATIONS_010_004-TDS;SST_MED_SST_L4_NRT_OBSERVATIONS_010_004_a_V2;-18.125;36.25;30.25;46;1*1;4;01/01/2008;present;marineCopernicus;analysed_sst;https://resources.marine.copernicus.eu/product-detail/SST_MED_SST_L4_NRT_OBSERVATIONS_010_004/INFORMATION;0;;;NetCDF
sat;Temperature;BS;https://nrt.cmems-du.eu/motu-web/Motu;SST_BS_SST_L4_NRT_OBSERVATIONS_010_006-TDS;SST_BS_SST_L4_NRT_OBSERVATIONS_010_006_a_V2;26.375;42.375;38.75;48.8125;1*1;4;01/01/2008;present;marineCopernicus;analysed_sst ;https://resources.marine.copernicus.eu/product-detail/SST_BS_SST_L4_NRT_OBSERVATIONS_010_006/INFORMATION;0;;;NetCDF
model;Temperature;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;BALTICSEA_ANALYSISFORECAST_PHY_003_006-TDS;dataset-bal-analysis-forecast-phy-dailymeans;9.0416;30.2087;53.0083;65.891;2*2;4;01/12/2018;present;marineCopernicus;thetao;https://resources.marine.copernicus.eu/product-detail/BALTICSEA_ANALYSISFORECAST_PHY_003_006/INFORMATION;0;1;688;NetCDF
model;Temperature;NWS;https://my.cmems-du.eu/motu-web/Motu;NWSHELF_MULTIYEAR_PHY_004_009-TDS;cmems_mod_nws_phy-t_my_7km-3D_P1D-m ;-19.8889;12.9997;40.0667;65.0013;11.1*6.7;4;01/01/1993;30/06/2020;marineCopernicus;thetao;https://resources.marine.copernicus.eu/product-detail/NWSHELF_MULTIYEAR_PHY_004_009/INFORMATION;0;0;5000;NetCDF
model;Temperature;NWS;https://nrt.cmems-du.eu/motu-web/Motu;NORTHWESTSHELF_ANALYSIS_FORECAST_PHY_004_013-TDS;MetO-NWS-PHY-dm-TEM ;-16;13;46;62.7432;1.4*3;4;01/01/2019;present;marineCopernicus;thetao;https://resources.marine.copernicus.eu/product-detail/NORTHWESTSHELF_ANALYSIS_FORECAST_PHY_004_013/INFORMATION;0;0;5000;NetCDF
model;Temperature;IBI;https://nrt.cmems-du.eu/motu-web/Motu;IBI_ANALYSISFORECAST_PHY_005_001-TDS;cmems_mod_ibi_phy_anfc_0.027deg-3D_P1D-m ;-19;5;26;56;2.8*2.8;4;16/11/2019;present;marineCopernicus;thetao;https://resources.marine.copernicus.eu/product-detail/IBI_ANALYSISFORECAST_PHY_005_001/INFORMATION;0;0.4940;5727.9170;NetCDF
model;Temperature;MED;https://nrt.cmems-du.eu/motu-web/Motu;MEDSEA_ANALYSISFORECAST_PHY_006_013-TDS;med-cmcc-tem-an-fc-d;-17.2917;36.2917;30.1875;45.9792;4.2*4.2;4;01/05/2019;present;marineCopernicus;thetao;https://resources.marine.copernicus.eu/product-detail/MEDSEA_ANALYSISFORECAST_PHY_006_013/INFORMATION;0;1.0182;5754.0439;NetCDF
