date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;ocean_mixed_layer_thickness;par;current_intensity
2020-01-01 12:00:00;;;;;;;;
2020-01-02 12:00:00;;;;;;;;
2020-01-03 12:00:00;;;;;;;;
2020-01-04 12:00:00;;;;;;;;
2020-01-05 12:00:00;;;;;;;;
2020-01-06 12:00:00;;;;;;;;
2020-01-07 12:00:00;;;;;;;;
2020-01-08 12:00:00;;;;;;;;
2020-01-09 12:00:00;;;;;;;;
2020-01-10 12:00:00;;;;;;;;
2020-01-11 12:00:00;;;;;;;;
2020-01-12 12:00:00;;;;;;;;
2020-01-13 12:00:00;;;;;;;;
2020-01-14 12:00:00;;;;;;;;
2020-01-15 12:00:00;;;;;;;;
2020-01-16 12:00:00;;;;;;;;
2020-01-17 12:00:00;;;;;;;;
2020-01-18 12:00:00;5.6;166.59991;9.094;1036.8;-13910.401;;;13948.986
2020-01-19 12:00:00;5.6;161.0;9.139;-864.00006;-9331.2;;;9371.115
2020-01-20 12:00:00;5.6;225.40009;8.868;-3369.6;-5961.6006;;;6847.984
2020-01-21 12:00:00;7.0;278.5999;8.734;-691.2;-6048.0;;;6087.3687
2020-01-22 12:00:00;7.0;273.0;8.929;-2419.2002;-5184.0;;;5720.698
2020-01-23 12:00:00;7.0;275.79974;9.015;-2332.8;-5011.2;;;5527.5747
2020-01-24 12:00:00;7.0;268.79974;9.094;-1987.2002;-2764.8;;;3404.8618
2020-01-25 12:00:00;5.6;245.0;9.097;-86.4;3369.6;10.400024;;3370.7075
2020-01-26 12:00:00;5.6;176.40009;9.313;-1728.0001;2851.2;11.400024;;3333.9656
2020-01-27 12:00:00;4.2000003;137.19983;9.399;-259.2;1728.0001;19.799927;;1747.332
2020-01-28 12:00:00;5.6;126.0;9.404;-1728.0001;864.00006;31.599976;;1931.9629
2020-01-29 12:00:00;5.6;124.599915;9.35;345.6;-1555.2001;27.099976;0.114569396;1593.1373
2020-01-30 12:00:00;4.2000003;123.19983;9.384;-864.00006;-4579.2;18.099976;0.0033448522;4659.9966
2020-01-31 12:00:00;4.2000003;126.0;9.388;-2073.6;432.00003;18.799927;0.15827355;2118.122
2020-02-01 12:00:00;5.6;128.79974;9.277;-1123.2001;1036.8;22.199951;0.06606353;1528.5721
2020-02-02 12:00:00;5.6;126.0;9.269;-345.6;2937.6;26.699951;0.075222105;2957.8596
2020-02-03 12:00:00;5.6;127.400085;9.198;-2851.2;-259.2;22.900024;0.08709708;2862.9575
2020-02-04 12:00:00;5.6;130.19983;9.071;-691.2;-2419.2002;18.699951;0.119617544;2516.006
2020-02-05 12:00:00;4.2000003;128.79974;9.017;1555.2001;-2851.2;16.799927;0.07900091;3247.7666
2020-02-06 12:00:00;4.2000003;124.599915;9.091;1296.0;-3888.0002;27.900024;0.007879001;4098.312
2020-02-07 12:00:00;4.2000003;123.19983;9.132;-518.4;-1123.2001;37.299927;0.0170093;1237.0598
2020-02-08 12:00:00;5.6;135.79974;8.997;-345.6;2419.2002;31.900024;0.15697265;2443.7612
2020-02-09 12:00:00;5.6;128.79974;9.086;-172.8;2505.6;50.799927;0.1483299;2511.5518
2020-02-10 12:00:00;5.6;127.400085;9.039;-518.4;2851.2;54.5;0.12234516;2897.944
2020-02-11 12:00:00;5.6;126.0;8.903;-1209.6001;1382.4;53.0;0.08697181;1836.8893
2020-02-12 12:00:00;5.6;128.79974;8.792;864.00006;-1382.4;33.299927;0.18436529;1630.192
2020-02-13 12:00:00;5.6;130.19983;8.761;-3110.4001;-3888.0002;23.099976;0.13386257;4979.07
2020-02-14 12:00:00;5.6;131.59991;8.791;-259.2;-432.00003;26.0;0.023909334;503.79428
2020-02-15 12:00:00;5.6;130.19983;8.821;432.00003;1209.6001;35.19995;0.13777716;1284.4285
2020-02-16 12:00:00;5.6;130.19983;8.782;-172.8;2332.8;53.400024;0.21094562;2339.1914
2020-02-17 12:00:00;5.6;130.19983;8.682;-1036.8;2592.0;54.5;0.12526548;2791.6694
2020-02-18 12:00:00;5.6;130.19983;8.6119995;-1900.8002;86.4;39.299927;0.059826024;1902.7628
2020-02-19 12:00:00;5.6;134.40009;8.542;-432.00003;-259.2;27.0;0.1834743;503.79428
2020-02-20 12:00:00;7.0;137.19983;8.512;-3283.2002;345.6;26.699951;0.06364774;3301.3396
2020-02-21 12:00:00;7.0;135.79974;8.502;86.4;2851.2;33.099976;0.05418111;2852.5088
2020-02-22 12:00:00;7.0;133.0;8.554;-259.2;1209.6001;39.099976;0.1303985;1237.0598
2020-02-23 12:00:00;7.0;135.79974;8.545;259.2;-3456.0002;22.299927;0.23548676;3465.7068
2020-02-24 12:00:00;7.0;138.59991;8.541;-2678.4001;259.2;28.5;0.2308719;2690.9128
2020-02-25 12:00:00;7.0;145.59991;8.445;-4060.8003;2678.4001;27.5;0.16754247;4864.558
2020-02-26 12:00:00;7.0;138.59991;8.458;-864.00006;-2592.0;26.199951;0.27349868;2732.208
2020-02-27 12:00:00;7.0;148.40009;8.333;604.80005;-8726.4;12.400024;0.14499325;8747.334
2020-02-28 12:00:00;7.0;156.79974;8.413;-1900.8002;-1036.8;14.599976;0.02249184;2165.178
2020-02-29 12:00:00;7.0;158.19983;8.367;-3196.8;4665.6;30.799927;0.22106743;5655.7363
