"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"1",1,0.4,8,0,0,0,0,0,0,-32000,32000,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.156600731344432,0.0174353450189719,52.3809523809524,293.333333333333
"2",2,0.39951903128207,8.00048096871793,0,10000,0,0,0,-20,128001507064.353,22837536695.7642,4.2e+07,52.5,10,1000,600,0,0.742241958015896,0.0494088387580798,0,28.5468809178021,160.001923782344
"3",3,0.000245839482709404,0.00454362485043959,873.59956112715,9987.24409386725,0.240443352505885,0,0,-14.827925228022,335801368.350411,16788852.1358183,4.2e+07,52.5,10.8747153398039,998.724409386725,599.234645632035,0.30427894118503,0.742241958015896,0.0190139777945003,0.000515313625194444,0.0227863500976248,0.420287850258625
"4",4,0.000266098848981135,0.00473595422778717,1307.88999087727,9973.75415936456,0.328402284532047,0,0,-12.1513029293744,335792727.047471,16787943.2440468,4.2e+07,52.5,11.3113316911358,997.375415936456,598.425249561874,0.396013390819822,0.742241958015896,0.022160930640369,0.000781672103080133,0.0236957140488482,0.420845479758613
"5",5,0.000287616057710843,0.00493949540477406,1736.75530010169,9965.70521665509,0.360438355577681,0,0,-3.70170205710712,335783817.778309,16786993.7579165,4.2e+07,52.5,11.7427319616068,996.570521665509,597.942312999305,0.46563098279115,0.742241958015896,0.0392675732378839,0.00162855593491561,0.0245775560675996,0.421174208808647
"6",6,0.000310367589872348,0.00515307713662102,2158.52298564538,9964.75174486927,0.372112469479296,0,0,1.83824092308496,335774345.023803,16785978.7860801,4.2e+07,52.5,12.1661583157421,996.475174486927,597.885104692156,0.5199414308278,0.742241958015896,0.0471699889162418,0.00218447433214093,0.0254263230161509,0.421202628086165
"7",7,0.000335777600614262,0.00539345005820454,2586.20630458659,9957.87266752431,0.37633999984291,0,0,-16.4716157772757,335762328.775522,16784731.1947801,4.2e+07,52.5,12.5971473937611,995.78726675243,597.472360051458,0.56494760148125,0.742241958015896,0.00687350092257297,0.000345870013884116,0.0263017291939164,0.421478521126248
"8",8,0.000363117092268415,0.00565077491831609,3009.14855496377,9955.73604436942,0.377700339617517,0,0,12.2714735691991,335752187.911456,16783616.5782663,4.2e+07,52.5,13.0225274570891,995.573604436942,597.344162662165,0.601794113205474,0.742241958015896,0.0603083902211038,0.00323260334690566,0.0271557536625363,0.421556245897449
"9",9,0.000393158711646826,0.00593353564175416,3431.89654310309,9953.77140749653,0.378266180463487,0,0,-17.3781467335488,335737170.50154,16782062.3269713,4.2e+07,52.5,13.4478354008797,995.377140749653,597.226284449792,0.632881713042021,0.742241958015896,0.00450795824497685,0.000254114342985539,0.0280086382897027,0.421620595111042
"10",10,0.000426495423657749,0.00624770812712046,3855.54826705542,9950.89801135731,0.378298177902837,0,0,11.5736147311001,335724726.792801,16780700.6830757,4.2e+07,52.5,13.874573191942,995.089801135731,597.053880681439,0.659549734992945,0.742241958015896,0.0538436923586502,0.00316307238983766,0.0288664998107897,0.421726713168576
"11",11,0.000460146256853305,0.00655769329551605,4258.37242758175,9968.81640584146,0.378564335394185,0,0,24.3142457788192,335711405.467283,16779233.3517002,4.2e+07,52.5,14.271693101988,996.881640584146,598.128984350488,0.681106845077281,0.742241958015896,0.0731722016648837,0.00443903035114296,0.0296209657812531,0.420951982426752
"12",12,0.000496998246997886,0.0068965938662904,4659.52091606015,9988.34930935185,0.37915870841204,0,0,14.5581530529457,335694937.133766,16777460.1986736,4.2e+07,52.5,14.6649559118818,998.834930935185,599.300958561111,0.699922996274508,0.742241958015896,0.0554608936969717,0.00345751340907904,0.0303641095361801,0.420108176156949
"13",13,0.000539808516387275,0.00729446546682878,5070.15682433912,9998.34066590089,0.37971255350133,0,0,5.26270074460173,335675516.519868,16775387.6360004,4.2e+07,52.5,15.0709982723741,999.834066590088,599.900439954053,0.717154505918371,0.742241958015896,0.0395508037603335,0.00252635741474083,0.0311526347310859,0.419664085923481
"14",14,0.000588682386478842,0.00775040050074065,5484.32912257986,10004.7526580706,0.380085032307382,0,0,7.54654250365877,335654297.340528,16773109.8042454,4.2e+07,52.5,15.4817238466718,1000.47526580706,600.285159484237,0.732681927188519,0.742241958015896,0.0422054317648282,0.00275429575938303,0.0319578066826736,0.419368618978743
"15",15,0.000645610548509008,0.00828430838486637,1476.0607222772,2501.34516382114,0.38032636378513,600322839.317073,450.242129487805,5.84855678105855,83906762.9789926,4169781.41808048,4.2e+07,52.5,15.9010677279833,250.134516382114,150.080709829268,0.746869654981367,0.742241958015896,0.0652130432111611,0.00433816462663798,0.032791621128963,0.419308457712298
"16",16,0.00261911149081192,0.0452371499620894,1891.06130958399,2518.16333753212,0.200026513694679,600322839.317073,450.242129487805,27.2520930310525,333465374.068976,16650402.275519,4.2e+07,52.5,17.5096848619728,251.816333753212,151.089800251927,0.789688088614001,0.742241958015896,0.182297435416371,0.012822210229524,0.0977492835230871,1.65530159733751
"17",17,0.0040106020055907,0.0677315639552607,2295.20702452624,2545.65920563596,0.134421102907723,600322839.317073,450.242129487805,27.6621544914639,331750116.383781,16545370.2777839,4.2e+07,52.5,19.0161598199978,254.565920563596,152.739552338157,0.818448530823838,0.742241958015896,0.176497668313325,0.0128664012960656,0.0993266022820042,1.6290006361489
"18",18,1.94522141195634,59.4873425777249,3082.03295364953,2570.59176394238,0.0737358667975195,600322839.317073,450.242129487805,20.338355525129,34378821.5562425,7006317.73840086,179387832,224.23479,21.9895854210735,257.059176394238,154.235505836543,0.857036506815473,0.843020244938908,0.114324650707631,0.00991193522457146,0.057320710088895,0.167930395218781
"19",19,4.18110361014366,124.898037043634,3123.08748125172,2606.93318060157,0.0450718051466343,600322839.317073,450.242129487805,50.9217842209045,68330448.7585354,23483590.9504193,124453380,155.566725,21.9799291538843,260.693318060157,156.415990836094,0.856937758554785,0.846807531981985,0.247282636816052,0.021533214199665,0.134974922763107,0.32924193051
"20",20,4.93229293462724,170.99687807388,3184.18607401027,2657.89982230301,0.0416891009161602,600322839.317073,450.242129487805,50.9878744543166,69372251.9994934,24638933.9342496,94175808,117.71976,21.9800830990359,265.789982230301,159.47398933818,0.85693933392013,0.823511502797874,0.2501480571412,0.0211835200207572,0.137996093286469,0.328110726977157
"21",21,5.70698700443479,224.498919852598,3241.77664970787,2705.32328411195,0.0459125940572377,600322839.317073,450.242129487805,43.7441328937726,60484417.4258354,21424415.2575704,85048424.4,106.3105305,21.9829547497944,270.532328411195,162.319397046717,0.856968713995917,0.811581741405209,0.217704848077572,0.0181696508327404,0.1208652774416,0.281578992537091
"22",22,6.34855657698703,256.15148459987,3296.93688839873,2751.63185774312,0.0503660012861462,600322839.317073,450.242129487805,48.8990564974059,65924630.2907934,24148963.3588694,80648376,100.81047,21.9817514073371,275.163185774312,165.097911464587,0.856956403977368,0.828855004272624,0.231957572393408,0.0197709297702029,0.131377527179324,0.301786895247317
"23",23,6.56795680123092,267.307117052717,3355.2899640699,2800.23180183806,0.0539548269123214,600322839.317073,450.242129487805,48.2816414112681,65489942.8514183,24013171.4396625,78330896.4,97.9136205,21.9821864813745,280.023180183806,168.013908110284,0.856960854966126,0.836291776363545,0.223743544575077,0.0192420159572419,0.128830920378113,0.294687119081465
"24",24,6.57444380911704,269.382879716247,3417.35687780459,2852.55538489385,0.0654641814027255,600322839.317073,450.242129487805,56.3499168235523,75040796.0328403,28091535.6983927,52858341.6,66.072927,21.9799843182773,285.255538489385,171.153323093631,0.856938323071992,0.843020244938908,0.250942414351631,0.0217541885153088,0.144776278962119,0.331136215346357
"25",25,5.98876373005401,259.344389865533,3485.25947385813,2909.24426135761,0.0794735501338979,600322839.317073,450.242129487805,57.0288715651859,76707518.334303,28222479.9806897,52448490,65.5606125,21.9799479203294,290.924426135761,174.554655681457,0.856937950599112,0.843273766965467,0.249119452425029,0.0216026412504026,0.143190760772169,0.331643772825936
"26",26,5.42655247034903,224.159088234853,3550.3822211084,2963.05434239084,0.0861504632790685,600322839.317073,450.242129487805,50.344473743627,69382816.1479502,24486175.1279716,52007587.2,65.009484,21.9821704594309,296.305434239084,177.78326054345,0.856960691059877,0.861129324054267,0.214452576347368,0.0189907358847171,0.125459876383768,0.294531133578721
"27",27,4.78918848175942,178.807975194563,3595.2422579936,2998.01884410094,0.106647884583026,600322839.317073,450.242129487805,17.6776908652942,31003861.3101027,7750098.6849411,32967984,41.20998,21.9920602402743,299.801884410094,179.881130646056,0.857061793213035,0.868011358376666,0.0884531932290376,0.00789645755565472,0.0547356593329453,0.130865573320203
"28",28,4.638040173604,147.44667252908,3633.420568008,3032.10634535716,0.128100131535048,600322839.317073,450.242129487805,49.2440033953027,66811628.1183493,22555502.1321901,35183554.8,43.9794435,21.9831567701166,303.210634535715,181.926380721429,0.856970780426763,0.868407347961215,0.204255834916665,0.0182408562848419,0.115465029287826,0.276963699818402
"29",29,4.73158668467917,131.899525151071,3698.55645412476,3087.38985139713,0.141454190008847,600322839.317073,450.242129487805,61.1737366181,82516104.4137988,29184268.0407293,31117647.6,38.8970595,21.9795575944225,308.738985139713,185.243391083828,0.856933956136212,0.864106546562865,0.245493878266074,0.0218140628694549,0.140631526303832,0.335617768319171
"30",30,4.57813575818829,126.159095676128,3742.58431532499,3119.31355122199,0.114483946149296,600322839.317073,450.242129487805,-3.6137681195923,7403195.33619977,-2392195.09394815,67919959.2,84.899949,21.9981023192069,311.931355122199,187.158813073319,0.857123490428,0.86682064482139,0.0094382842919502,0.000841486096139131,0.0129790080911387,0.0311344389930405
"31",31,4.03257322684185,124.396768087028,3787.53305650845,3163.02221341933,0.107163546488059,600322839.317073,450.242129487805,81.3333816523668,105884501.281789,37489691.9321805,37417464,46.77183,21.9744118155086,316.302221341933,189.78133280516,0.856881275118826,0.867138570262698,0.310817868862581,0.0277138193046209,0.170863928273785,0.419721630033714
"32",32,4.13240188436449,124.886313617273,3864.83899835126,3224.44294507896,0.13686684669276,600322839.317073,450.242129487805,38.4917976674282,58625724.6553141,18250617.8293724,30342865.2,37.9285815,21.9860672500025,322.444294507896,193.466576704737,0.857000544595577,0.858209213293927,0.157917209307057,0.0139375031045822,0.0934840445096255,0.228552333729616
"33",33,4.75905422649939,125.387023432721,3914.18453805074,3265.7946689399,0.132856084478774,600322839.317073,450.242129487805,44.2003146579685,62208468.6383124,20380507.8468106,47494315.2,59.367894,21.9853969242999,326.57946689399,195.947680136394,0.856993690574133,0.85755720232175,0.176144998731858,0.0155343213945279,0.100561692940338,0.23956341151704
"34",34,4.98662947831885,125.38507139787,3970.67461480765,3313.39501269939,0.119861952069943,600322839.317073,450.242129487805,50.9607728179331,70462770.1737531,24019532.1874149,46355490,57.9443625,21.9837043261944,331.339501269939,198.803700761963,0.856976380982714,0.851721943443234,0.198430099425158,0.0173802286243003,0.113113853215845,0.267330412840998
"35",35,4.95885689105933,126.507362800198,4040.23675958792,3372.61329778108,0.121064038366372,600322839.317073,450.242129487805,67.1231150510331,90160936.6754172,32198592.4193735,42192072,52.74009,21.9795434663265,337.261329778108,202.356797866865,0.856933811549888,0.841071702922898,0.253238804375089,0.0219024047895426,0.141863091121659,0.335636038106866
"36",36,4.48763806611733,127.272955979375,4110.8678335667,3430.05136490303,0.117454241895675,600322839.317073,450.242129487805,47.0468114981807,67820325.5311468,22087886.0607145,50973199.2,63.716499,21.9848579401169,343.005136490303,205.803081894182,0.856988179031636,0.836463349116498,0.182700970696534,0.0157160661731113,0.103189635067185,0.248463249246282
"37",37,4.20037293597856,126.271089318735,4145.14079939219,3454.99974837083,0.104547087912913,600322839.317073,450.242129487805,-0.342172529225189,10937393.1508466,-1679641.34416722,61179744,76.47468,21.9975140413448,345.499974837083,207.29998490225,0.857117485712638,0.84276657583181,0.0219303103774045,0.00190096308128921,0.016732699724493,0.0407866273761696
"38",38,4.20996027308664,124.480069891477,4148.77874095505,3458.40278548419,0.127945935140011,600322839.317073,450.242129487805,7.12224354135683,16782833.3535834,716490.718203046,26844717.6,33.555897,21.9962277337057,345.840278548419,207.504167129051,0.85710435425514,0.846220596264613,0.0466405412964775,0.00405940255751896,0.0254018111561268,0.0618769387102837
"39",39,4.28864572557565,126.984544206217,4202.81741953693,3509.56029900316,0.148067732358289,600322839.317073,450.242129487805,86.6728393569224,113266749.448483,40396244.5643931,41325134.4,51.656418,21.9753389640596,350.956029900316,210.57361794019,0.856890769866592,0.834744780890838,0.311020626836611,0.0266962103433699,0.16665017199407,0.404644141385739
"40",40,4.49006488096509,128.235004866923,4305.99105474462,3595.64097855983,0.140432306056852,600322839.317073,450.242129487805,85.4324626074796,114884997.79879,41319781.9017977,42138621.6,52.673277,21.9755867741537,359.564097855983,215.73845871359,0.856893307428152,0.842343467626286,0.297405368682324,0.0257600091657922,0.166386873956499,0.400638591548935
"41",41,4.65009383498756,126.558524016264,4403.00750266749,3675.64585383984,0.133741378690618,600322839.317073,450.242129487805,74.2863643238725,101583748.395355,35934910.378731,46775328,58.46916,21.9788675997384,367.564585383984,220.53875123039,0.856926894419014,0.838346458379731,0.257637047065969,0.0222104248553401,0.144935121204526,0.346727350635686
"42",42,4.76013881760268,125.150730153547,4482.83802977124,3740.71088421404,0.145292932132583,600322839.317073,450.242129487805,55.3148520169511,78558104.5558677,26335181.4064215,34042671.6,42.5533395,21.9839200850539,374.071088421404,224.442653052842,0.856978587703915,0.826584291793752,0.197488297669942,0.0167872566817131,0.110736086030679,0.263783135427552
"43",43,4.52050630841528,124.562302408603,4574.76335446063,3820.81763394268,0.170654125262056,600322839.317073,450.242129487805,101.971402940473,133722885.499044,48807861.3247205,31562304,39.45288,21.9732575400097,382.081763394268,229.249058036561,0.856869452647431,0.816777004178726,0.341591061184856,0.028688372152232,0.182485464700283,0.438664373865168
"44",44,4.66207819850835,126.255369898374,4686.9485124882,3912.89088643491,0.137428960558476,600322839.317073,450.242129487805,81.2951314833815,111462803.126191,39634227.8361996,71748840,89.68605,21.9782244088042,391.289088643491,234.773453186095,0.856920311084697,0.8140061309568,0.272102500012261,0.0227762326737024,0.149414380807583,0.357267084068779
"45",45,4.9113244466875,128.095203821097,4753.43588038399,3963.12941545687,0.16915667594586,600322839.317073,450.242129487805,12.9317721796604,30057239.6575857,5620873.03253475,18045531.36,22.5569142,21.9941475083927,396.312941545687,237.787764927412,0.857083112865536,0.816687834770706,0.0626577482749047,0.00526302041241053,0.0405203681003463,0.0960419860835229
"46",46,4.6281892963783,127.513297489602,4810.02063825546,4015.56722508144,0.251128773643646,600322839.317073,450.242129487805,86.1077563369562,113313743.640122,40129752.0933257,27413142,34.2664275,21.9784338516656,401.556722508143,240.934033504886,0.856922454888486,0.819356663366311,0.278244389933211,0.0234434851941023,0.147786158254868,0.353885243390261
"47",47,4.32191762706623,126.664464825311,4930.65645467829,4118.86089362884,0.211712758698132,600322839.317073,450.242129487805,119.273077367704,156860239.241332,57280998.9597478,40070296.8,50.087871,21.9709225002116,411.886089362884,247.13165361773,0.856845530424371,0.815884667153531,0.369026275166271,0.0309577823694408,0.196781448112456,0.477091836527753
"48",48,4.42465275739277,126.923553988076,5055.63767769121,4220.27033747379,0.175580330018181,600322839.317073,450.242129487805,81.2617771293896,113672287.472037,39486803.694685,45500032.8,56.875041,21.9794166567952,422.027033747379,253.216220248428,0.856932513773539,0.806884079090259,0.256167706435265,0.0212551117893628,0.139907797390877,0.337733872994268
"49",49,4.72095404475431,127.625935559611,5134.14374340524,4282.52780810373,0.174684271453634,600322839.317073,450.242129487805,41.2068189880791,63811446.6153349,19048665.5744742,34833153.6,43.541442,21.9885823827928,428.252780810373,256.951668486224,0.857026255751249,0.800502530892021,0.141171075738963,0.0116220785560585,0.0785155263065573,0.187357577741386
"50",50,4.12304654294313,127.278270850873,5222.22653721514,4361.09642704832,0.263515121620297,600322839.317073,450.242129487805,110.335753380643,145238424.455681,51450591.2592394,18045531.36,22.5569142,21.9745725061843,436.109642704832,261.665785622899,0.856882920811,0.794056988739135,0.334355361865323,0.0273000031589121,0.170534498033751,0.417235294535898
"51",51,4.83856032158984,130.605411346731,5324.36448093056,4441.45736959317,0.229387836822274,600322839.317073,450.242129487805,44.5800743730721,70321632.3748191,21597452.9253814,51616075.2,64.520094,21.9878770364473,444.145736959317,266.48744217559,0.857019046222044,0.791275562411774,0.147920465706723,0.0120372626963108,0.0837216813667564,0.199002014757104
"52",52,5.96492330659362,133.460127094572,5374.97891654399,4482.83389219072,0.17745218018209,600322839.317073,450.242129487805,38.0948450391357,57609061.2134083,17108989.2380955,46230105.6,57.787632,21.9901362526669,448.283389219072,268.970033531443,0.857042135696231,0.790345933484833,0.129152663026673,0.010497938124698,0.0703962003210527,0.16196856852962
"53",53,6.001095221388,132.151868100267,5447.93664973767,4547.40474980148,0.198956816437518,600322839.317073,450.242129487805,88.6680800981211,117061689.986595,42886234.4287565,26844717.6,33.555897,21.9803205333229,454.740474980148,272.844284988089,0.856941763585972,0.795166395653306,0.262917712689747,0.0214986118405211,0.140571284088395,0.323101263444379
"54",54,5.74691379630127,131.382003654536,5581.39123345448,4662.57694975763,0.186685975689547,600322839.317073,450.242129487805,139.003621300862,179482442.265365,69317153.9733075,53588481.6,66.985602,21.9706147342932,466.257694975763,279.754616985458,0.856842376800309,0.794334510974285,0.389505669530583,0.031812617099668,0.208582513917626,0.482410792647675
"55",55,5.61263965348913,132.800397239021,5748.50608917952,4802.09096606666,0.168415939513925,600322839.317073,450.242129487805,140.003227538211,183488455.877402,70474249.9410897,44290953.6,55.363692,21.9708396400663,480.209096606666,288.125457963999,0.856844681384482,0.793964456127106,0.381626310273647,0.0311546387870462,0.206254739723206,0.478795248646503
"56",56,5.80424525679833,137.234527977702,5903.07901448451,4928.85087727768,0.146063308997571,600322839.317073,450.242129487805,112.298159814072,151218933.579818,56645986.0441876,70374696,87.96837,21.9765826994241,492.885087727768,295.731052636661,0.856903504739938,0.785023733420554,0.307024250885021,0.0247838420374561,0.166464404041253,0.38468214239254
"57",57,5.73473582365514,137.801909033501,6063.85728718592,5066.37009707282,0.146448866073682,600322839.317073,450.242129487805,160.547535937486,207021002.62085,80363150.9265708,44786496,55.98312,21.9688399603681,506.637009707282,303.982205824369,0.856824188288052,0.786241024919012,0.416732872796652,0.033688868531386,0.221110622379424,0.511904424448328
"58",58,6.00480089715411,140.521377842508,6229.32343489165,5200.11438748544,0.11771942786255,600322839.317073,450.242129487805,102.452520649921,141680679.96209,52304422.3987323,116968008,146.21001,21.9792046303502,520.011438748544,312.006863249126,0.856930343829591,0.774454439863613,0.272506336926512,0.0217019744212709,0.148555321989032,0.341725809859072
"59",59,6.40604318630893,147.859443960662,6311.81402099436,5262.02926801599,0.125892083203575,600322839.317073,450.242129487805,12.7351743934489,33969114.3863673,5518088.7228935,37982136,47.47767,21.9950188406576,526.202926801599,315.72175608096,0.857092010895355,0.782018770381108,0.054956144684412,0.00442020212066411,0.0359048246845244,0.081911359869424
"60",60,6.34379620481338,152.800178081504,6404.75842864841,5349.02552500363,0.135655317591386,600322839.317073,450.242129487805,144.548458279946,184697698.67786,71289029.5146463,79868835.6,99.8360445,21.9736920280336,534.902552500363,320.941531500217,0.856873903046692,0.777678202308687,0.362951909234485,0.0290233255766428,0.189380269711489,0.432801267979834
"61",61,6.0806360646395,146.652785989119,6548.25351192926,5464.23834954382,0.159276343864176,600322839.317073,450.242129487805,80.4339743439091,115695861.87323,40563771.6894434,33993850.8,42.4923135,21.983835793832,546.423834954382,327.854300972629,0.856977725605004,0.783334929480059,0.207558170835389,0.0167200706116021,0.115677760778613,0.265778836240051
"62",62,5.86481076745248,143.172726317538,6686.65111087157,5584.92567093866,0.175860901026982,600322839.317073,450.242129487805,154.767961923772,200190363.67814,76668526.8092258,59217108,74.021385,21.972676996698,558.492567093866,335.09554025632,0.856863505792582,0.765475475888992,0.377488557029975,0.0297117317297726,0.19452374507318,0.449109711485675
