"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"1",1,0.4,8,100,100,0,0,0,0.905955662438571,213301333.333333,37967238.0952381,4.2e+07,52.5,20,10,6,0.833333333333333,0.742241958015896,0.149002040439067,0.0110595566243857,4.76190476190476,26.6666666666667
"2",2,0.3734812971115,7.8299020108352,121.679818149126,101.69242974888,0.00242709997336152,0,0,2.35349833370866,3698960.84924249,471473.529073536,4.2e+07,52.5,21.9654745638001,10.169242974888,6.1015457849328,0.85678968581675,0.742241958015896,0.329474105634233,0.0251432992556123,0.0782355313852768,0.458347706193498
"3",3,0.385275613016421,7.89457971573979,123.932969280811,103.432960342271,0.00336520502873786,0,0,1.00996477613948,1954096.87968775,178212.560274756,4.2e+07,52.5,21.9819609600947,10.3432960342271,6.20597762053625,0.856958547824006,0.742241958015896,0.154129099263688,0.0117644384613705,0.0418087809413272,0.239879884777631
"4",4,0.391919897004428,7.9320776466007,125.242916681995,104.531120298405,0.0037394185502763,0,0,1.18588896080019,2038995.94070354,195629.66044311,4.2e+07,52.5,21.9814000198662,10.4531120298405,6.27186721790433,0.856952808934857,0.742241958015896,0.174835555120621,0.0133448412053256,0.0436429706072348,0.247575737081175
"5",5,0.392273447226126,7.93397406366266,127.070554830611,106.147496026323,0.0039092287432677,0,0,2.01844328288086,3231884.40325496,403354.061610909,4.2e+07,52.5,21.9711306990322,10.6147496026323,6.36884976157938,0.856847663722841,0.742241958015896,0.275364849408332,0.0210154582862729,0.0677827826148766,0.384284415694531
"6",6,0.390192829182384,7.92167714646749,129.655540694156,108.347656360716,0.00401958118824108,0,0,2.3797707245005,3818738.90044068,500147.483840402,4.2e+07,52.5,21.9666216186994,10.8347656360716,6.50085938164299,0.856801447436488,0.742241958015896,0.314019187961727,0.0239642104355044,0.0780707345042389,0.44416677481673
"7",7,0.392638815864358,7.93502492500053,131.660401534183,109.796651082347,0.00410736614724291,0,0,0.281799821461327,986439.472762486,76.7884101533056,4.2e+07,52.5,21.9912948378942,10.9796651082347,6.58779906494085,0.857053973690614,0.742241958015896,0.0598210952182917,0.00456656117179728,0.0204526860697165,0.115879055508288
"8",8,0.391867347774911,7.93046812625473,133.450174292847,111.562486159965,0.00416969239167007,0,0,2.9245273404203,4492015.7780611,614835.956581156,4.2e+07,52.5,21.9619218687452,11.1562486159965,6.6937491695979,0.856753245090338,0.742241958015896,0.369731170463777,0.0282142539224783,0.0893378736060723,0.506819689303672
"9",9,0.392275322867265,7.93214271458061,135.865227738313,113.291884192532,0.00424514515033556,0,0,0.115204009886877,874090.549798069,-26620.3691864093,4.2e+07,52.5,21.9924943173704,11.3291884192532,6.79751305155194,0.857066227461877,0.742241958015896,0.0395199694585201,0.00301687787000784,0.0176227959879831,0.0999048367498966
"10",10,0.392514281340162,7.93329819668104,137.449611718247,114.874986972201,0.00430183378230211,0,0,2.74607787939751,4232071.13241468,563503.245466138,4.2e+07,52.5,21.9651470995604,11.4874986972201,6.89249921833206,0.856786327724184,0.742241958015896,0.339455660319284,0.0259049244032736,0.0818678687416056,0.463925218545795
"11",11,0.386801549644171,7.89988197145868,141.088815513614,118.006849897835,0.00438600742349773,0,0,3.50028285241543,5495361.71983114,770653.409047803,4.2e+07,52.5,21.9559852360911,11.8006849897835,7.08041099387009,0.856692310419772,0.742241958015896,0.414937328196744,0.031661692142836,0.102303623828625,0.585379773355011
"12",12,0.384528644712161,7.88551132770847,145.038439162736,121.244116329532,0.00449633902924756,0,0,2.9413694658635,4803205.57878904,639871.451837651,4.2e+07,52.5,21.9625136091992,12.1244116329532,7.27464697977191,0.856759315981451,0.742241958015896,0.34411800303346,0.0262598944584585,0.0867599182871051,0.498371386660496
