"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"1",1,0.4,8,0,0,0,0,0,0,-32000,32000,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.156600731344432,0.0174353450189719,52.3809523809524,293.333333333333
"2",2,0.39951903128207,8.00048096871793,0,0,0,0,0,0,-31961.5225025656,31961.5225025656,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.342735253957847,0.0381588728968122,52.3359483493038,293.33686026763
"3",3,0.399342120249313,8.00065787975069,0,0,0,0,0,0,-31947.369619945,31947.369619945,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.162136917706032,0.0180517234897181,52.3193870793108,293.338157467468
"4",4,0.399277084428136,8.00072291557186,0,0,0,0,0,0,-31942.1667542509,31942.1667542509,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.18373521374645,0.0204563977211451,52.313297792439,293.338634330976
"5",5,0.399252990417412,8.00074700958259,0,0,0,0,0,0,-31940.2392333929,31940.2392333929,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.287721285411752,0.0320338215370303,52.3110417328393,293.338810994419
"6",6,0.399244359628236,8.00075564037176,0,0,0,0,0,0,-31939.5487702589,31939.5487702589,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.327525312737505,0.0364654544139082,52.3102335639385,293.338874277364
"7",7,0.399241392764176,8.00075860723582,0,0,0,0,0,0,-31939.3114211341,31939.3114211341,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.0634312119186459,0.00706219604007254,52.3099557507408,293.338896031072
"8",8,0.399240252377054,8.00075974762295,0,0,0,0,0,0,-31939.2201901644,31939.2201901644,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.384538812722702,0.0428131261932609,52.3098489660966,293.338904392642
"9",9,0.399239811563665,8.00076018843633,0,0,0,0,0,0,-31939.1849250932,31939.1849250932,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.0420057613802178,0.00467676578622021,52.3098076887503,293.338907624782
"10",10,0.399239646152132,8.00076035384787,0,0,0,0,0,0,-31939.1716921706,31939.1716921706,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.353957410984348,0.039408306267489,52.3097921997651,293.338908837615
"11",11,0.399239582350569,8.00076041764943,0,0,0,0,0,0,-31939.1665880455,31939.1665880455,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.4308702466781,0.0479714963317718,52.3097862254439,293.338909305422
"12",12,0.399239554632505,8.00076044536749,0,0,0,0,0,0,-31939.1643706004,31939.1643706004,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.359293665480706,0.0400024250653661,52.309783629949,293.338909508657
"13",13,0.399239541128244,8.00076045887176,0,0,0,0,0,0,-31939.1632902595,31939.1632902595,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.281219327164885,0.0313099176040166,52.309782365422,293.338909607673
"14",14,0.399239542428476,8.00076045757152,0,0,0,0,0,0,-31939.1633942781,31939.1633942781,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.293915573431693,0.0327234706072957,52.3097824871746,293.33890959814
"15",15,0.399239543077973,8.00076045692203,0,0,0,0,0,0,-31939.1634462379,31939.1634462379,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.162550237607337,0.0180977409956428,52.3097825479929,293.338909593378
"16",16,0.399239543402413,8.00076045659759,0,0,0,0,0,0,-31939.163472193,31939.163472193,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.382611306815238,0.0425985248294344,52.3097825783732,293.338909590999
"17",17,0.399239652425203,8.00076377494102,0,0,0,0,0,0,-31939.1721940162,31939.1721940162,4.2e+07,52.5,0,0,0,1.25,0.742241958015896,0.373822835216408,0.041620048974312,52.3097927871698,293.338933921809
"18",18,2.31220456563274,66.346497516821,0,0,0,0,0,0,-184976.365250619,184976.365250619,179387832,224.23479,0,0,0,1.25,0.843020244938908,0.264665712045776,0.0334677830093641,127.982484766916,355.937026378182
"19",19,4.38918500736354,127.659836168877,0,0,0,0,0,0,-351134.800589083,351134.800589083,124453380,155.566725,0,0,0,1.25,0.846807531981985,0.479110962593678,0.0608572157669198,149.314584100781,361.010841740448
"20",20,5.15223321323256,172.428654258239,0,0,0,0,0,0,-412178.657058605,412178.657058605,94175808,117.71976,0,0,0,1.25,0.823511502797874,0.484929548096476,0.0599017591356034,153.533856138774,362.462464458882
"21",21,5.94706163167166,225.484465098626,0,0,0,0,0,0,-475764.930533733,475764.930533733,85048424.4,106.3105305,0,0,0,1.25,0.811581741405209,0.44152833947004,0.0537504507940267,156.943279083992,363.443003314466
"22",22,6.60872598253994,257.003569089649,0,0,0,0,0,0,-528698.078603195,528698.078603195,80648376,100.81047,0,0,0,1.25,0.828855004272624,0.463267560335831,0.0575972453552286,159.238191287998,363.835302852219
"23",23,6.85174373799537,268.149575714522,0,0,0,0,0,0,-548139.49903963,548139.49903963,78330896.4,97.9136205,0,0,0,1.25,0.836291776363545,0.453233296343884,0.0568552917759797,159.983955226892,363.952121099109
"24",24,6.93986916176008,270.415540518409,0,0,0,0,0,0,-555189.532940807,555189.532940807,52858341.6,66.072927,0,0,0,1.25,0.843020244938908,0.492431011768379,0.0622693968234739,160.243112373988,363.974700812084
"25",25,6.4563867363958,260.645317239517,0,0,0,0,0,0,-516510.938911664,516510.938911664,52448490,65.5606125,0,0,0,1.25,0.843273766965467,0.491940689583325,0.0622261017642781,158.745910521899,363.874561553045
"26",26,5.90913596674812,225.525264423779,0,0,0,0,0,0,-472730.877339849,472730.877339849,52007587.2,65.009484,0,0,0,1.25,0.861129324054267,0.445080610116761,0.0574907947409261,156.798418661561,363.44358137462
"27",27,5.19177042899455,180.058291267058,0,0,0,0,0,0,-415341.634319564,415341.634319564,32967984,41.20998,0,0,0,1.25,0.868011358376666,0.222101534787077,0.028917998236211,153.724139091436,362.63865273646
"28",28,5.07248808247277,148.853824046362,0,0,0,0,0,0,-405799.046597821,405799.046597821,35183554.8,43.9794435,0,0,0,1.25,0.868407347961215,0.430543628304521,0.0560830875656292,153.1425234308,361.805448610252
"29",29,5.39777653212179,133.900489235472,0,0,0,0,0,0,-431822.122569744,431822.122569744,31117647.6,38.8970595,0,0,0,1.25,0.864106546562865,0.49092407803833,0.063631606454739,154.677544495937,361.270561491043
"30",30,5.00526670086745,127.511657554631,0,0,0,0,0,0,-400421.336069396,400421.336069396,67919959.2,84.899949,0,0,0,1.25,0.86682064482139,0.0274674118070263,0.00357139794212118,152.804575417078,361.004370722195
"31",31,4.49142222741686,125.820987155641,0,0,0,0,0,0,-359313.778193349,359313.778193349,37417464,46.77183,0,0,0,1.25,0.867138570262698,0.572767125841383,0.0745002699893357,149.947932294963,360.92947632217
"32",32,4.81521743114804,126.971091417768,0,0,0,0,0,0,-385217.394491843,385217.394491843,30342865.2,37.9285815,0,0,0,1.25,0.858209213293927,0.359526107835603,0.0462822927246331,151.806853798562,360.980637919667
"33",33,5.30477539937246,127.10445650262,0,0,0,0,0,0,-424382.031949797,424382.031949797,47494315.2,59.367894,0,0,0,1.25,0.85755720232175,0.390675352812621,0.0502539693861081,154.254845723516,360.986511595347
"34",34,5.48553551443104,126.927251620952,0,0,0,0,0,0,-438842.841154483,438842.841154483,46355490,57.9443625,0,0,0,1.25,0.851721943443234,0.42682990475625,0.0545310593998025,155.065300119207,360.978704470053
"35",35,5.55146381565691,128.262425511525,0,0,0,0,0,0,-444117.105252552,444117.105252552,42192072,52.74009,0,0,0,1.25,0.841071702922898,0.506388695934787,0.0638863804246166,155.349765310688,361.037005385191
"36",36,5.06141713653214,128.977682266557,0,0,0,0,0,0,-404913.370922571,404913.370922571,50973199.2,63.716499,0,0,0,1.25,0.836463349116498,0.404624809408778,0.0507680734820537,153.08738107435,361.067748433857
"37",37,4.51270911362538,127.32438077247,0,0,0,0,0,0,-361016.729090031,361016.729090031,61179744,76.47468,0,0,0,1.25,0.84276657583181,0.0636575227544711,0.00804726487165817,150.076847356194,360.996171057463
"38",38,4.30938608613866,125.092871644106,0,0,0,0,0,0,-344750.886891093,344750.886891093,26844717.6,33.555897,0,0,0,1.25,0.846220596264613,0.128318657032132,0.0162878835698407,148.803289678763,360.896607938378
"39",39,4.74876530176381,128.537964919178,0,0,0,0,0,0,-379901.224141105,379901.224141105,41325134.4,51.656418,0,0,0,1.25,0.834744780890838,0.576731839933126,0.072213584003662,151.44242742401,361.048888468674
"40",40,5.2806781243712,130.559344395346,0,0,0,0,0,0,-422454.249949696,422454.249949696,42138621.6,52.673277,0,0,0,1.25,0.842343467626286,0.563572652554516,0.0712082613618173,154.143279376908,361.134553207006
"41",41,5.47642393870578,128.938187631846,0,0,0,0,0,0,-438113.915096463,438113.915096463,46775328,58.46916,0,0,0,1.25,0.838346458379731,0.516490032951054,0.064949638486942,155.025530282076,361.066059642876
"42",42,5.54738453400446,127.458081030387,0,0,0,0,0,0,-443790.762720357,443790.762720357,34042671.6,42.5533395,0,0,0,1.25,0.826584291793752,0.4323155185315,0.0536017825075213,155.332330431919,361.002027368011
"43",43,5.57200872860032,127.575079781915,0,0,0,0,0,0,-445760.698288026,445760.698288026,31562304,39.45288,0,0,0,1.25,0.816777004178726,0.618162712955283,0.0757351633173915,155.437245408876,361.00714220743
"44",44,5.5842957527802,128.869693866689,0,0,0,0,0,0,-446743.660222416,446743.660222416,71748840,89.68605,0,0,0,1.25,0.8140061309568,0.541019403410914,0.0660589667014612,155.489302594598,361.063128432059
"45",45,5.58576082181795,130.197140486604,0,0,0,0,0,0,-446860.865745436,446860.865745436,18045531.36,22.5569142,0,0,0,1.25,0.816687834770706,0.174316414527394,0.0213543142718056,155.495496780574,361.119395896406
"46",46,5.58134506045794,130.515457242308,0,0,0,0,0,0,-446507.604836636,446507.604836636,27413142,34.2664275,0,0,0,1.25,0.819356663366311,0.549524293750252,0.0675384587648902,155.476818950759,361.132721053119
"47",47,5.58492786459519,130.324286085723,0,0,0,0,0,0,-446794.229167616,446794.229167616,40070296.8,50.087871,0,0,0,1.25,0.815884667153531,0.651897850517376,0.0797810191181207,155.491975447084,361.124726067355
"48",48,5.58790970429189,130.252183355048,0,0,0,0,0,0,-447032.776343351,447032.776343351,45500032.8,56.875041,0,0,0,1.25,0.806884079090259,0.527190018250546,0.0638071848572503,155.504577087039,361.121704649937
"49",49,5.58831596616805,130.226362474022,0,0,0,0,0,0,-447065.277293444,447065.277293444,34833153.6,43.541442,0,0,0,1.25,0.800502530892021,0.348071577302538,0.0417948267843389,155.506293119297,361.120621841623
"50",50,5.58279953414713,131.566709431947,0,0,0,0,0,0,-446623.962731771,446623.962731771,18045531.36,22.5569142,0,0,0,1.25,0.794056988739135,0.621440504560426,0.074018876359767,155.482973865097,361.176276610251
"51",51,6.09858340830887,134.346347960269,0,0,0,0,0,0,-487886.672664709,487886.672664709,51616075.2,64.520094,0,0,0,1.25,0.791275562411774,0.363425973866115,0.0431355137798935,157.506584137326,361.288206999034
"52",52,6.66162221570701,135.641561878417,0,0,0,0,0,0,-532929.777256561,532929.777256561,46230105.6,57.787632,0,0,0,1.25,0.790345933484833,0.327595814127558,0.0388371029283553,159.404545385856,361.338818571038
"53",53,6.86543613791415,134.721921729039,0,0,0,0,0,0,-549234.891033132,549234.891033132,26844717.6,33.555897,0,0,0,1.25,0.795166395653306,0.540317245968706,0.0644463175479386,160.024602562562,361.302981574625
"54",54,6.94195838177732,134.671961001052,0,0,0,0,0,0,-555356.670542185,555356.670542185,53588481.6,66.985602,0,0,0,1.25,0.794334510974285,0.680283288564496,0.0810558740018786,160.249186512067,361.301020868055
"55",55,6.97132732821639,136.422447711453,0,0,0,0,0,0,-557706.186257312,557706.186257312,44290953.6,55.363692,0,0,0,1.25,0.793964456127106,0.676478561934333,0.080564990026176,160.334235970416,361.368874686698
"56",56,6.98342001656158,140.379015810227,0,0,0,0,0,0,-558673.601324926,558673.601324926,70374696,87.96837,0,0,0,1.25,0.785023733420554,0.603320669452254,0.0710431566574794,160.369073285258,361.516094939785
"57",57,6.98742677416427,141.110683641308,0,0,0,0,0,0,-558994.141933142,558994.141933142,44786496,55.98312,0,0,0,1.25,0.786241024919012,0.71333778093288,0.0841283141991182,160.380592918068,361.542427758191
"58",58,6.99102332581653,143.132407672491,0,0,0,0,0,0,-559281.866065322,559281.866065322,116968008,146.21001,0,0,0,1.25,0.774454439863613,0.569367059598706,0.0661423270827462,160.39092334924,361.613809451012
"59",59,6.9911834724415,149.557683931463,0,0,0,0,0,0,-559294.67779532,559294.67779532,37982136,47.47767,0,0,0,1.25,0.782018770381108,0.170501399567276,0.0200002942256788,160.391383124634,361.828024940887
