;time;SST;PAR;NH4_ext;NO3_ext;PO4_ext;K_d;F_in;h_z_SML;t_z;D_ext
0;0;8.734;500;7.0;159.59991;50;0.1;5877.741;30;10;0.1
1;1;8.433;500;7.0;189.0;50;0.1;6594.1943;30;10;0.1
2;2;8.33;500;7.0;203.0;50;0.1;8133.082;30;10;0.1
3;3;8.421;500;7.0;190.40009;50;0.1;8643.887;30;10;0.1
4;4;8.438;500;7.0;180.59991;50;0.1;8553.164;30;10;0.1
5;5;8.321;500;7.0;175.0;50;0.1;8121.6006;30;10;0.1
6;6;8.129;500;5.6;176.40009;50;0.1;7086.907;30;10;0.1
7;7;7.811;500;7.0;198.79974;50;0.1;8057.9297;30;10;0.1
8;8;7.7939997;500;5.6;184.79974;50;0.1;4234.4814;30;10;0.1
9;9;7.494;500;5.6;201.59991;50;0.1;3361.8374;30;10;0.1
10;10;8.09;500;5.6;163.79974;50;0.1;6738.093;30;10;0.1
11;11;8.843;500;7.0;112.0;50;0.1;3675.81;30;10;0.1
12;12;8.926;500;7.0;106.400085;50;0.1;2766.15;30;10;0.1
13;13;8.865;500;7.0;110.599915;50;0.1;2770.1948;30;10;0.1
14;14;8.809999;500;7.0;109.19983;50;0.1;2599.1902;30;10;0.1
15;15;8.799;500;7.0;114.79974;50;0.1;4792.67;30;10;0.1
16;16;8.582;500;5.6;124.599915;50;0.1;3767.0798;30;10;0.1
17;17;8.491;500;5.6;130.19983;50;0.1;658.00287;30;10;0.1
18;18;8.648;500;5.6;133.0;50;0.1;3661.5667;30;10;0.1
19;19;8.636;500;5.6;133.0;50;0.1;3517.0215;30;10;0.1
20;20;8.446;500;5.6;142.79974;50;0.1;3673.7786;30;10;0.1
21;21;8.146;500;5.6;169.40009;50;0.1;6580.028;30;10;0.1
22;22;7.858;500;5.6;177.79974;50;0.1;4685.5576;30;10;0.1
23;23;8.167;500;5.6;175.0;50;0.1;4289.654;30;10;0.1
24;24;8.15;500;5.6;155.40009;50;0.1;2683.9685;30;10;0.1
25;25;8.1779995;500;5.6;148.40009;50;0.1;3014.1096;30;10;0.1
26;26;8.248;500;5.6;154.0;50;0.1;2862.9575;30;10;0.1
27;27;8.381;500;5.6;140.0;50;0.1;4866.0923;30;10;0.1
28;28;8.604;500;7.0;124.599915;50;0.1;2053.7046;30;10;0.1
29;29;8.58;500;5.6;117.599915;50;0.1;7229.2593;30;10;0.1
30;30;8.571;500;5.6;119.0;50;0.1;5661.0137;30;10;0.1
31;31;8.549;500;5.6;141.40009;50;0.1;7021.828;30;10;0.1
32;32;8.515;500;5.6;166.59991;50;0.1;3751.1934;30;10;0.1
33;33;8.473;500;5.6;149.79974;50;0.1;4526.734;30;10;0.1
34;34;8.4939995;500;5.6;128.79974;50;0.1;1200.3073;30;10;0.1
35;35;8.336;500;5.6;147.0;50;0.1;7229.2593;30;10;0.1
36;36;8.238;500;5.6;175.0;50;0.1;7179.523;30;10;0.1
37;37;8.247;500;5.6;141.40009;50;0.1;6203.977;30;10;0.1
38;38;8.22;500;7.0;130.19983;50;0.1;3260.384;30;10;0.1
39;39;8.111;500;7.0;151.19983;50;0.1;5916.35;30;10;0.1
40;40;8.028;500;7.0;159.59991;50;0.1;8035.6646;30;10;0.1
41;41;7.951;500;7.0;140.0;50;0.1;3311.4993;30;10;0.1
42;42;7.9189997;500;7.0;140.0;50;0.1;3964.0564;30;10;0.1
43;43;7.958;500;7.0;137.19983;50;0.1;2511.5518;30;10;0.1
44;44;7.9919996;500;7.0;141.40009;50;0.1;432.00003;30;10;0.1
45;45;8.007;500;7.0;154.0;50;0.1;1659.69;30;10;0.1
46;46;8.014999;500;7.0;144.19983;50;0.1;2339.1914;30;10;0.1
47;47;7.983;500;7.0;141.40009;50;0.1;1630.192;30;10;0.1
48;48;7.9309998;500;7.0;141.40009;50;0.1;965.98145;30;10;0.1
49;49;7.9639997;500;7.0;127.400085;50;0.1;1123.2001;30;10;0.1
50;50;7.9469995;500;7.0;117.599915;50;0.1;2024.4167;30;10;0.1
51;51;7.948;500;7.0;128.79974;50;0.1;2824.897;30;10;0.1
52;52;7.917;500;7.0;131.59991;50;0.1;1661.9373;30;10;0.1
53;53;7.95;500;7.0;117.599915;50;0.1;2632.0115;30;10;0.1
54;54;7.963;500;7.0;114.79974;50;0.1;1545.5702;30;10;0.1
55;55;7.9589996;500;7.0;134.40009;50;0.1;3196.8;30;10;0.1
56;56;7.95;500;7.0;124.599915;50;0.1;1931.9629;30;10;0.1
57;57;8.018;500;5.6;110.599915;50;0.1;1593.1375;30;10;0.1
58;58;8.01;500;5.6;114.79974;50;0.1;5876.471;30;10;0.1
59;59;8.019;500;7.0;131.59991;50;0.1;7482.9585;30;10;0.1
60;60;8.058;500;7.0;140.0;50;0.1;9055.115;30;10;0.1
61;61;8.121;500;7.0;162.40009;50;0.1;7892.724;30;10;0.1
62;62;8.184999;500;8.400001;200.19983;50;0.1;7169.118;30;10;0.1
63;63;8.115;500;7.0;183.40009;50;0.1;6910.3804;30;10;0.1
